SEXO;EDAD;P1;RECUVOTOG1R;ESCIDEOL;NIVELESTENTREV;RELIGION;SITLAB;RELALAB;CNO11;INGRESHOG
2;18;2;2;10;5;3;1;4;5;1
1;73;1;1;4;12;2;2;0;0;3
2;22;1;21;1;10;6;6;0;0;3
1;45;2;1;3;13;4;1;1;10;4
2;72;3;2;6;6;2;7;0;0;5
2;56;1;2;8;13;2;1;1;3;2
1;46;2;2;5;11;2;1;2;1;2
1;29;2;2;6;6;2;1;3;6;4
1;56;1;901;5;11;6;1;1;2;1
2;45;2;2;7;10;2;4;0;0;4
2;46;2;21;1;5;6;4;0;0;3
1;46;2;3;8;5;2;1;1;7;4
2;52;1;2;8;9;1;1;3;5;4
2;67;5;2;5;11;1;2;0;0;4
1;54;1;901;1;7;6;1;1;3;4
2;58;1;2;10;4;2;4;0;0;4
1;58;1;21;1;11;1;1;1;2;3
1;58;5;2;8;7;2;1;1;5;5
2;38;1;1;3;13;4;1;2;1;3
2;57;4;2;5;11;1;1;3;3;3
2;68;1;1;1;1;1;2;0;0;4
2;39;2;21;1;6;2;1;1;5;4
1;71;4;2;6;11;2;2;0;0;4
2;56;1;1;3;6;5;1;1;2;2
2;41;4;1;3;6;6;1;1;5;5
2;49;1;2;5;11;2;1;1;2;3
1;53;1;21;4;3;2;2;0;0;5
1;54;2;3;5;6;2;1;1;7;4
2;45;2;1;1;13;4;2;0;0;5
2;22;1;2;4;6;5;6;0;0;4
1;49;1;21;1;12;4;1;1;1;3
1;65;2;1;5;6;2;2;0;0;4
2;45;1;1;9;11;6;1;1;1;3
1;48;4;1;4;12;5;1;1;2;1
2;72;2;2;10;4;1;2;0;0;5
1;34;1;3;6;7;5;1;2;6;5
1;19;2;1;1;6;6;6;0;0;5
1;62;1;1;4;13;4;1;1;1;1
2;82;1;1;5;9;4;2;0;0;8
2;45;4;1;1;5;2;4;0;0;5
2;42;1;2;5;7;2;7;0;0;3
2;59;2;1;3;6;1;1;1;3;4
2;52;1;2;7;9;2;1;3;3;4
2;23;1;1;2;15;2;6;0;0;4
2;57;1;21;1;4;6;4;0;0;6
1;76;2;21;2;9;4;2;0;0;2
2;18;2;1;3;6;6;6;0;0;4
1;64;1;1;4;7;4;1;1;8;4
1;56;1;21;3;7;2;1;1;3;4
2;71;4;2;9;4;1;3;0;0;5
1;56;2;1;1;5;1;1;3;8;5
1;59;5;1;5;2;2;1;1;3;3
2;68;2;2;7;11;2;2;0;0;2
1;50;5;3;8;10;1;1;1;2;2
2;31;2;2;5;13;5;1;1;2;3
2;27;1;21;2;13;6;1;1;2;1
1;48;4;3;9;9;2;1;1;3;3
1;20;2;2;7;5;4;6;0;0;5
2;27;2;1;3;13;6;1;1;2;3
2;46;1;1;5;6;4;4;0;0;4
